city_code,prefecture,region,city_name,building_lods,spec_versions
14382,神奈川県,関東,箱根町,1+2,V4
15100,新潟県,北陸,新潟市,1+2+3,V4
15202,新潟県,北陸,長岡市,1+2,V4
15204,新潟県,北陸,三条市,1+2,V4
15206,新潟県,北陸,新発田市,1+2,V5
15209,新潟県,北陸,加茂市,1+2,V4
15222,新潟県,北陸,上越市,1+2,V4
16202,富山県,北陸,高岡市,1+2,V4
16211,富山県,北陸,射水市,1,V4
16321,富山県,北陸,舟橋村,1+2,V5
17201,石川県,北陸,金沢市,1+2,V4
17206,石川県,北陸,加賀市,1+2,V4
19201,山梨県,中部,甲府市,1+2+3,V4
20201,長野県,中部,長野市,1,V4
20202,長野県,中部,松本市,1+2,V4
20204,長野県,中部,岡谷市,1+2,V4
20206,長野県,中部,諏訪市,1+2,V4
20209,長野県,中部,伊那市,1+2,V4
20213,長野県,中部,飯山市,1+2,V5
20214,長野県,中部,茅野市,1+2,V4
20217,長野県,中部,佐久市,1+2,V4
20220,長野県,中部,安曇野市,1+2,V4
21201,岐阜県,中部,岐阜市,1+2+3,V5
21202,岐阜県,中部,大垣市,1+2,V5
21211,岐阜県,中部,美濃加茂市,1+2,V3+V4
22100,静岡県,中部,静岡市,1+2,V4
22130,静岡県,中部,浜松市,1+2,V4
22203,静岡県,中部,沼津市,1+2+3,V4
22205,静岡県,中部,熱海市,1,V4
22206,静岡県,中部,三島市,1,V4
22207,静岡県,中部,富士宮市,1,V4
22208,静岡県,中部,伊東市,1,V4
22209,静岡県,中部,島田市,1,V4
22210,静岡県,中部,富士市,1+2,V4
22211,静岡県,中部,磐田市,1,V4
22212,静岡県,中部,焼津市,1,V4
22213,静岡県,中部,掛川市,1+2,V4
22214,静岡県,中部,藤枝市,1,V4
22215,静岡県,中部,御殿場市,1,V4
22216,静岡県,中部,袋井市,1,V4
22219,静岡県,中部,下田市,1,V4
22220,静岡県,中部,裾野市,1,V4
22221,静岡県,中部,湖西市,1,V4
22222,静岡県,中部,伊豆市,1,V4
22223,静岡県,中部,御前崎市,1,V4
22224,静岡県,中部,菊川市,1+2,V4
22225,静岡県,中部,伊豆の国市,1,V4
22226,静岡県,中部,牧之原市,1,V4
22301,静岡県,中部,東伊豆町,1,V4
22302,静岡県,中部,河津町,1,V4
22304,静岡県,中部,南伊豆町,1,V4
22305,静岡県,中部,松崎町,1,V4
22306,静岡県,中部,西伊豆町,1,V4
22325,静岡県,中部,函南町,1,V4
22341,静岡県,中部,清水町,1,V4
22342,静岡県,中部,長泉町,1,V4
22344,静岡県,中部,小山町,1,V4
22424,静岡県,中部,吉田町,1,V4
22429,静岡県,中部,川根本町,1,V4
22461,静岡県,中部,森町,1,V4
23100,愛知県,中部,名古屋市,1+2,V4
23201,愛知県,中部,豊橋市,1+2,V4
23202,愛知県,中部,岡崎市,1+2,V4
23206,愛知県,中部,春日井市,1+2,V4
23207,愛知県,中部,豊川市,1+2,V4
23208,愛知県,中部,津島市,1+2,V4
23211,愛知県,中部,豊田市,1+2,V4
23212,愛知県,中部,安城市,1+2,V4
23230,愛知県,中部,日進市,1+2,V4
24202,三重県,中部,四日市市,1+2,V4
24203,三重県,中部,伊勢市,1+2,V4
24212,三重県,中部,熊野市,1+2,V4
25203,滋賀県,近畿,長浜市,1+2,V4
25204,滋賀県,近畿,近江八幡市,1+2,V5
26100,京都府,近畿,京都市,1+2+3,V5
26202,京都府,近畿,舞鶴市,1+2,V5
26465,京都府,近畿,与謝野町,1+2,V5
27100,大阪府,近畿,大阪市,1+2+3,V5
27140,大阪府,近畿,堺市,1+2,V4
27202,大阪府,近畿,岸和田市,1,V4
27203,大阪府,近畿,豊中市,1+2,V4
27204,大阪府,近畿,池田市,1+2,V4
27207,大阪府,近畿,高槻市,1+2,V4
27216,大阪府,近畿,河内長野市,1+2,V4
27219,大阪府,近畿,和泉市,1,V4
27221,大阪府,近畿,柏原市,1+2,V4
27224,大阪府,近畿,摂津市,1+2,V4
27227,大阪府,近畿,東大阪市,1+2,V4
27341,大阪府,近畿,忠岡町,1+2,V4
27999,大阪府,近畿,万博,1+2+3,V4
28201,兵庫県,近畿,姫路市,1+2,V4
28210,兵庫県,近畿,加古川市,1+2,V4
28215,兵庫県,近畿,三木市,1+2,V4
28225,兵庫県,近畿,朝来市,1+2,V4
28229,兵庫県,近畿,たつの市,1+2,V4
29210,奈良県,近畿,香芝市,1+2,V5
29343,奈良県,近畿,三郷町,1+2,V5
30201,和歌山県,近畿,和歌山市,1+2,V4
30406,和歌山県,近畿,すさみ町,1+2,V5
30422,和歌山県,近畿,太地町,1,V4
31201,鳥取県,中国,鳥取市,1+2,V4
31202,鳥取県,中国,米子市,1+2,V4
31204,鳥取県,中国,境港市,1+2,V4
31384,鳥取県,中国,日吉津村,1+2,V4
32201,島根県,中国,松江市,1+2+3,V4
32204,島根県,中国,益田市,1+2,V4
32528,島根県,中国,隠岐の島町,1+2,V4
33100,岡山県,中国,岡山市,1+2,V5
33202,岡山県,中国,倉敷市,1+2,V4
33203,岡山県,中国,津山市,1+2,V5
33211,岡山県,中国,備前市,1+2,V4
33423,岡山県,中国,早島町,1+2,V4
34100,広島県,中国,広島市,1+2+3,V4
34202,広島県,中国,呉市,1+2,V4
34203,広島県,中国,竹原市,1+2,V4
34207,広島県,中国,福山市,1+2,V4
34208,広島県,中国,府中市,1,V4
34209,広島県,中国,三次市,1+2,V4
34304,広島県,中国,海田町,1+2,V5
35215,山口県,中国,周南市,1+2,V4
36201,徳島県,四国,徳島市,1+2,V4
36387,徳島県,四国,美波町,1+2,V5
37201,香川県,四国,高松市,1+2,V4
37206,香川県,四国,さぬき市,1+2,V4
38201,愛媛県,四国,松山市,1+2,V4
38203,愛媛県,四国,宇和島市,1+2,V5
38215,愛媛県,四国,東温市,1+2,V4
39201,高知県,四国,高知市,1+2,V4
39203,高知県,四国,安芸市,1+2,V5
39211,高知県,四国,香南市,1+2,V5
39386,高知県,四国,いの町,1+2,V4
40100,福岡県,九州,北九州市,1+2,V4
40130,福岡県,九州,福岡市,1+2,V4
40202,福岡県,九州,大牟田市,1+2,V4
40203,福岡県,九州,久留米市,1+2,V4
40205,福岡県,九州,飯塚市,1+2,V4
40220,福岡県,九州,宗像市,1+2,V4
40223,福岡県,九州,古賀市,1+2,V4
40225,福岡県,九州,うきは市,1+2+3,V4
40447,福岡県,九州,筑前町,1+2,V4
41203,佐賀県,九州,鳥栖市,1+2,V5
41206,佐賀県,九州,武雄市,1+2,V4
41208,佐賀県,九州,小城市,1+2,V4
41423,佐賀県,九州,大町町,1+2,V4
41424,佐賀県,九州,江北町,1+2,V4
41425,佐賀県,九州,白石町,1+2,V4
42202,長崎県,九州,佐世保市,1+2,V4
42208,長崎県,九州,松浦市,1+2,V4
42323,長崎県,九州,波佐見町,1+2,V4
43100,熊本県,九州,熊本市,1+2,V4
43204,熊本県,九州,荒尾市,1+2,V4
43206,熊本県,九州,玉名市,1+2+3,V4
43213,熊本県,九州,宇城市,1+2,V5
43443,熊本県,九州,益城町,1+2,V4
44204,大分県,九州,日田市,1+2,V4
44206,大分県,九州,臼杵市,1+2,V4
45203,宮崎県,九州,延岡市,1,V4
46220,鹿児島県,九州,南さつま市,1+2,V4
47201,沖縄県,沖縄県,那覇市,1+2,V4
